EPIC,RA,Dec,Ch,Col,Row
228865023,187.70962,-4.0608,42,276,974
228843299,185.81402,-4.9745,44,393,95
228857471,189.68054,-4.37355,23,997,1034
201127606,184.09361,-5.84573,58,641,517
201187310,183.05934,-4.40197,63,225,417
201419191,184.97649,-0.66681,65,961,597
201411232,184.66799,-0.78719,66,1109,859
229002496,190.41518,-1.44937,28,831,837
228755509,186.98121,-8.67799,34,246,29
228995300,190.90854,-1.577,28,373,878
201118297,181.80462,-6.08402,74,1111,13
201127599,181.39601,-5.84588,73,964,421
228736460,185.30576,-9.54925,33,629,1052
201478212,182.85583,0.19379,81,507,35
228731899,185.81803,-9.77135,35,1110,991
229090701,191.10575,0.53675,29,493,619
201345873,180.25724,-1.76817,80,76,106
