EPIC,RA,Dec,Ch,Col,Row
201629434,173.40144,2.49903,41,474,192
201544370,172.19606,1.20382,62,667,16
201679640,174.06088,3.30112,46,946,196
201683447,173.33225,3.3625,46,287,144
201550910,171.88948,1.3015,62,709,304
201408876,174.23721,-0.82375,38,513,447
201650979,171.98406,2.83153,61,133,444
201661854,171.69282,3.00632,61,19,729
201662236,171.68884,3.0131,61,14,734
201708336,172.39918,3.77992,66,412,215
201474092,170.8248,0.13205,57,1108,96
201442997,177.25534,-0.31867,24,54,451
201582008,177.67382,1.76472,23,247,387
201483601,170.06588,0.27412,57,409,83
201717452,170.37194,3.93746,67,258,120
201263495,172.57872,-3.0035,33,551,53
201597817,169.3225,2.01056,78,968,111
201820371,171.29676,5.73946,68,224,685
201394825,178.5091,-1.03955,2,50,356
201872913,173.98484,6.76821,50,365,693
201460386,168.4398,-0.06951,73,667,602
201861033,176.46483,6.52937,30,27,850
201191601,172.83347,-4.29976,36,970,993
201863820,170.81313,6.58581,70,156,75
201384997,168.06807,-1.1872,74,502,766
201878183,177.89209,6.87666,32,989,796
201154102,175.21443,-5.19867,16,645,535
201937165,174.61503,8.1343,51,724,160
201335829,179.89153,-1.91861,3,629,444
201188767,170.31799,-4.3662,55,907,553
201220652,169.16542,-3.65161,56,189,1024
201833818,168.63559,5.99279,84,378,867
201345873,180.25724,-1.76817,3,443,140
201375377,167.30691,-1.33326,75,270,736
201205847,169.1519,-3.96678,56,222,741
201407809,167.09825,-0.84073,75,678,481
201242508,179.8108,-3.32267,4,329,315
201959651,171.57515,8.65955,71,535,132
