EPIC,RA,Dec,Ch,Col,Row
210715639,58.77352,18.59049,41,852,1026
210717967,58.5861,18.62448,41,720,929
210782877,62.29153,19.60921,24,742,813
210856050,55.9041,20.71634,65,844,115
210953721,57.47947,22.24416,48,932,158
210943602,61.17381,22.08192,25,776,553
210935801,61.64209,21.95651,25,465,289
211012647,59.26586,23.17555,27,418,38
210570971,54.85731,16.53669,78,977,16
211040014,56.904,23.60913,49,822,737
211067718,57.2906,24.05342,49,357,959
211058916,56.85174,23.91469,49,739,1005
211072686,57.29673,24.13671,49,319,1025
210382168,57.81612,13.04608,53,520,22
211061086,56.58156,23.94836,52,927,1034
211093623,59.35993,24.46194,30,991,562
211070770,56.87115,24.10514,52,650,1011
211071441,56.83765,24.11627,52,671,990
211086366,57.48582,24.34899,52,98,1034
210669602,52.83801,17.93818,82,324,1004
210660430,52.8519,17.81133,82,217,1046
211071265,56.2189,24.11334,51,1094,768
210777987,65.49764,19.5351,3,61,920
211087560,56.4567,24.36775,52,852,648
210359961,60.17007,12.49034,55,38,794
210418899,54.82105,13.89149,76,791,1042
211093973,56.30207,24.46728,52,926,511
210513001,64.94835,15.62764,14,196,505
210640801,65.73372,17.54251,1,417,719
210360588,61.07818,12.50744,36,343,475
211125522,57.02725,24.98842,52,183,349
210633806,66.024,17.44413,1,236,916
210458343,53.39967,14.67849,79,48,254
211144936,58.00383,25.34173,31,325,405
210481526,65.1513,15.09545,14,224,1018
210351697,61.7966,12.26818,36,830,14
210668871,66.37243,17.92791,4,532,804
211157773,57.57892,25.57937,31,108,60
210417655,65.21967,13.86443,15,622,105
210427655,65.51466,14.0772,15,307,176
210664191,67.37646,17.86316,4,137,26
