EPIC,RA,Dec,Ch,Col,Row
215705313,288.16348,-23.69641,43,956,701
215578117,287.53717,-23.93506,44,707,678
216116430,288.49185,-22.93182,42,458,909
215747117,288.61438,-23.61729,43,580,638
215454480,287.74927,-24.18487,44,793,406
215409039,287.94974,-24.28035,44,919,267
215942128,286.63449,-23.2534,41,213,649
216088798,286.63229,-22.98247,41,295,418
215310282,288.18976,-24.48725,44,1039,23
215280111,287.3949,-24.55122,44,405,195
215457152,288.88846,-24.17935,43,547,82
216354732,286.74289,-22.49762,41,530,36
216598898,288.53653,-22.06064,42,146,183
215672750,286.01154,-23.75806,61,937,31
214956066,288.8851,-25.25668,38,892,402
214989881,289.07901,-25.18122,38,719,395
217084133,287.5719,-21.19988,45,637,406
215368649,285.67816,-24.36457,62,860,473
216778441,286.17075,-21.74149,46,310,345
214947565,289.11563,-25.27588,38,721,485
215955460,285.34983,-23.22822,61,302,390
216407903,290.15897,-22.40254,22,984,618
217183975,287.44098,-21.02361,45,686,594
216443906,290.21924,-22.33755,22,948,686
217202030,287.14127,-20.99152,45,914,707
215614082,285.10486,-23.86971,61,784,773
214777922,289.0473,-25.66676,38,899,796
214677201,288.30695,-25.90679,37,683,788
214670719,287.46097,-25.92227,37,31,564
215962336,284.96802,-23.21549,61,186,687
215935338,284.87311,-23.26594,61,204,776
215136617,285.30496,-24.85913,62,539,912
215494409,284.92673,-24.10148,61,934,981
217226832,286.26596,-20.94739,46,626,995
214528652,287.58447,-26.26952,37,17,894
214634142,289.28052,-26.01127,39,833,1007
216575095,284.88708,-22.10309,66,425,425
215208762,284.87317,-24.70369,63,788,964
216474994,284.72696,-22.28184,66,316,604
216337004,284.60345,-22.52949,66,137,775
214593160,286.25394,-26.11129,58,587,395
214581884,286.29764,-26.13887,58,562,431
214704971,289.93875,-25.83988,39,277,960
216844143,284.99826,-21.62412,66,804,194
217542006,286.54562,-20.39308,47,1018,777
217605737,286.81457,-20.28137,48,957,759
217565513,286.45996,-20.35207,47,962,718
217512738,289.58808,-20.44421,26,838,450
217367389,290.04037,-20.69952,25,1110,94
215755143,284.11841,-23.60227,64,291,696
217406674,285.60501,-20.63037,47,195,712
214303428,287.03375,-26.83466,59,212,938
215247426,284.17975,-24.62073,63,1044,449
215404952,284.01889,-24.28889,64,853,420
215774641,283.86246,-23.56549,64,191,506
214570829,290.43411,-26.16638,39,8,538
217887333,288.85947,-19.78698,27,466,937
217512838,285.32971,-20.44404,47,31,475
216282287,283.84793,-22.62848,67,253,764
217979451,287.71778,-19.62419,48,31,462
215793586,283.73767,-23.53013,64,128,418
214563942,285.06644,-26.18297,57,704,135
216258912,283.77975,-22.67134,67,235,698
216758825,291.57983,-21.77669,23,892,229
216755187,284.0607,-21.78327,66,925,988
214864701,284.28934,-25.46511,63,291,288
217136868,284.4325,-21.10666,65,821,490
216095111,283.62335,-22.97088,67,20,488
217142192,284.4057,-21.09737,65,806,509
214770551,284.37183,-25.68426,63,82,288
216886987,284.05795,-21.54816,65,1096,917
217160628,284.32999,-21.065,65,757,560
216219308,283.54239,-22.74484,67,236,489
217427521,284.65808,-20.59405,65,445,160
217057859,291.6152,-21.24595,23,456,23
217307837,284.36798,-20.80392,65,544,454
217391953,284.33533,-20.65635,65,409,437
217087047,283.86472,-21.19476,65,741,969
218128135,289.58587,-19.36106,28,1041,800
213994647,286.73505,-27.67042,59,696,307
216993438,283.5004,-21.35985,68,790,858
218125286,289.99698,-19.36628,28,716,929
213949912,287.04263,-27.79704,59,504,115
218369781,288.66867,-18.92601,27,590,149
214128237,285.40033,-27.30245,60,631,982
214365871,284.41748,-26.67366,57,62,387
217529222,284.09207,-20.41528,65,135,563
217394198,283.87869,-20.65239,65,280,802
213964589,289.23788,-27.75538,33,798,33
215388317,282.93262,-24.32366,77,600,17
216902932,283.28464,-21.51968,68,869,640
217393062,283.80307,-20.65443,65,261,864
218428060,286.92154,-18.82059,49,423,29
215231751,282.96561,-24.65445,77,893,84
218354809,289.40866,-18.95291,28,1050,402
214079168,285.34787,-27.43626,60,551,881
216677409,283.03488,-21.92153,67,1078,320
218134796,285.26996,-19.34921,50,309,53
218271463,285.77915,-19.10302,50,794,117
218504327,287.23782,-18.68271,49,125,55
218195146,285.3552,-19.24035,50,411,122
218198363,290.40463,-19.23444,28,348,942
215549222,282.65689,-23.98847,77,240,140
213867506,286.58096,-28.03831,59,926,34
213838114,288.57477,-28.12582,33,183,161
213842862,288.82684,-28.11177,33,376,219
217227258,283.25018,-20.94664,68,368,775
218436335,285.88809,-18.80553,50,972,339
213876671,289.77493,-28.0113,34,1107,402
215238770,282.5484,-24.63919,77,772,406
217318435,283.19665,-20.7852,68,215,777
215008818,282.61465,-25.13938,78,1004,494
217867300,283.90109,-19.82252,69,578,33
213880706,290.15365,-27.99941,34,821,501
214319626,283.61438,-26.79292,73,319,195
214782416,282.72794,-25.65604,78,530,553
216007894,282.17514,-23.13144,82,268,283
217412945,282.96701,-20.61942,68,11,640
217898641,283.6677,-19.76733,69,751,144
217954302,283.68564,-19.66844,69,708,224
213671853,286.87851,-28.63681,54,890,133
215620050,293.64142,-23.85883,2,707,239
214267193,283.42425,-26.92943,73,388,380
214663559,282.66443,-25.9394,78,302,682
214203920,283.5776,-27.09771,73,572,311
218778919,286.2207,-18.17084,49,789,785
217881658,283.45252,-19.79713,69,933,177
213662596,289.20352,-28.66708,33,478,795
218613419,285.21237,-18.48248,50,522,809
218854516,289.13098,-18.02659,29,970,45
215985836,281.8743,-23.1723,82,311,533
215484435,281.88983,-24.12226,77,159,780
218921525,288.59228,-17.90214,30,860,321
214700715,282.40869,-25.85014,78,443,855
215390079,281.88034,-24.31993,77,327,842
215420383,281.86822,-24.25635,77,269,834
214817688,282.25531,-25.57391,78,720,896
218568199,284.86157,-18.56644,50,212,837
218882228,286.43057,-17.9743,49,559,893
217210624,282.39163,-20.97626,68,163,76
218012372,283.44208,-19.56576,69,876,379
214156847,283.35529,-27.22449,73,625,517
215354507,281.81519,-24.39434,77,374,914
218154000,283.66702,-19.31488,69,621,532
218638595,284.95709,-18.43583,50,328,922
217245862,282.35739,-20.9136,68,100,66
218307919,283.91196,-19.03812,69,343,701
215456070,281.67621,-24.18161,77,156,965
216031756,281.60815,-23.08722,82,452,720
216810184,281.89792,-21.68453,81,639,96
218669620,284.754,-18.37736,50,181,1030
217746339,282.77463,-20.03459,70,675,151
214850160,281.90994,-25.49878,79,872,1020
218958231,285.96353,-17.8313,52,895,1015
213956224,283.66586,-27.77904,74,1043,431
216839295,281.836,-21.63265,81,578,131
215201606,294.0069,-24.71908,1,682,213
218489693,284.0599,-18.70946,69,127,942
216413647,281.58587,-22.39218,82,1058,547
215973458,281.46033,-23.19497,82,397,867
219109102,287.51764,-17.50602,30,115,977
214115462,283.04727,-27.33709,73,645,785
215791467,281.42279,-23.53406,82,114,990
214179067,282.86002,-27.16423,73,449,879
219063200,289.24002,-17.6063,29,747,369
218287369,283.4263,-19.07468,69,748,804
215125430,294.17682,-24.88362,1,490,285
216286291,281.35925,-22.62127,82,918,791
217984083,282.78222,-19.61603,70,799,507
213964174,283.28183,-27.75648,73,1065,725
219141094,286.17425,-17.43615,52,605,738
213434675,286.92328,-29.43609,54,1104,826
214644797,281.72876,-25.98545,79,498,745
216442785,281.26074,-22.33957,81,1037,783
213416232,287.8284,-29.50229,55,447,1036
219228289,286.82733,-17.24188,52,15,762
216016364,281.08661,-23.11574,83,553,1022
218121095,282.70685,-19.37377,70,806,735
216005524,281.00714,-23.13583,83,556,953
213541773,290.73578,-29.06462,35,741,597
213543025,290.80642,-29.06027,35,688,580
218505852,283.30884,-18.67996,72,721,989
218999214,284.7619,-17.74396,51,378,596
213831548,283.24368,-28.14525,74,833,857
219192543,289.82117,-17.3224,29,186,436
218598946,283.43021,-18.50936,72,574,876
216116123,280.92624,-22.93238,83,751,944
215035179,281.1112,-25.08138,80,794,512
213763019,283.43716,-28.35247,74,607,771
218258704,282.69754,-19.12607,70,868,950
215255510,280.90378,-24.60341,80,331,478
217904720,282.05383,-19.75637,70,169,585
219269177,285.8327,-17.14891,52,795,395
216385367,280.83475,-22.44283,84,1028,1014
214027918,282.3352,-27.57732,76,668,766
213596366,283.95813,-28.88274,74,20,535
213651234,283.64746,-28.70375,74,252,715
214062508,282.21548,-27.48172,76,557,701
215847988,294.95608,-23.4277,3,765,769
215411176,280.73419,-24.27582,80,6,432
218260364,282.43658,-19.12313,70,657,1024
219325917,289.66501,-17.01782,29,212,741
216171628,280.70008,-22.83165,83,896,791
218249696,282.39731,-19.14234,70,619,1019
