EPIC,RA,Dec,Ch,Col,Row
216430701,280.75827,-22.36099,84,938,974
214190090,281.85251,-27.13437,76,170,520
214166408,281.88751,-27.19857,76,234,529
213356638,289.84631,-29.72081,36,614,298
219438934,288.04016,-16.74931,31,772,697
218492607,282.78305,-18.70412,71,1068,877
219239624,285.17853,-17.21627,51,875,265
219442656,287.43662,-16.74023,31,285,511
214876239,280.89636,-25.43836,80,1050,248
216261963,280.63772,-22.66567,83,1054,786
216811387,280.84021,-21.68244,81,361,944
218617005,282.96387,-18.47594,72,945,719
218868613,283.5777,-17.99938,72,309,480
215920510,280.55954,-23.29308,83,534,556
216323267,280.62485,-22.55447,84,1070,817
219379854,286.0181,-16.89164,52,566,229
215057376,280.72272,-25.03275,80,657,220
214903672,280.8081,-25.37516,80,974,196
214701443,280.98013,-25.84845,79,799,202
219145070,284.48117,-17.42745,51,243,246
218894893,283.56088,-17.95128,72,309,434
216489096,280.60938,-22.25672,84,810,883
215646622,280.47961,-23.80812,83,110,355
219303517,285.21246,-17.06973,51,946,149
216354029,280.54208,-22.49889,84,1001,765
216633386,280.64548,-21.99917,84,598,980
218334030,282.2836,-18.99074,71,582,985
216187697,280.49481,-22.80259,83,973,635
213971386,282.09207,-27.73591,76,747,536
214032959,281.92948,-27.56322,76,559,460
216205832,280.47375,-22.76932,83,1007,627
216387346,280.51657,-22.4392,84,943,761
213314304,285.65305,-29.88006,53,41,869
214701394,280.84323,-25.84856,79,832,95
218761652,283.04861,-18.20363,72,799,509
218133414,281.89081,-19.35177,70,148,977
219394860,285.52512,-16.85547,52,958,56
213569922,292.22458,-28.97,16,35,234
218501614,282.44678,-18.68776,71,799,770
215202403,280.46246,-24.71732,80,321,100
219487233,286.36777,-16.63001,52,201,106
216570943,280.48895,-22.11052,84,654,825
216141368,280.3591,-22.88654,83,935,505
218381234,282.17758,-18.90525,71,519,883
216601260,280.47064,-22.05659,84,603,825
219059512,283.69693,-17.61426,72,102,183
219514839,286.41043,-16.56098,52,145,60
216149182,280.3039,-22.87243,83,961,464
218396423,282.12192,-18.87774,71,481,844
218418249,282.13687,-18.83839,71,504,815
216367812,280.30548,-22.47446,84,920,583
216169941,280.22446,-22.83475,83,1013,411
213188017,287.94958,-30.37726,55,636,260
216336259,280.25726,-22.53084,84,957,529
214078323,281.50003,-27.43865,76,349,165
214056270,281.51608,-27.499,76,405,161
215983292,295.50601,-23.17701,3,739,259
219075324,283.44601,-17.57957,72,297,83
218549258,282.18921,-18.60115,71,613,626
216868293,280.38724,-21.58148,84,172,883
216560703,280.21435,-22.12895,84,600,600
218284755,281.69528,-19.07923,71,78,901
216551190,280.17938,-22.14591,84,605,568
215968295,280.02865,-23.20457,83,743,157
218750607,282.46112,-18.22477,71,939,377
219008765,283.07657,-17.72377,72,641,104
216964093,280.35031,-21.41133,84,16,898
213868042,281.75302,-28.03688,76,926,193
218636921,282.16727,-18.4389,71,639,480
216822152,280.22485,-21.66332,84,201,731
216925939,280.25207,-21.47871,84,49,801
216070973,279.94497,-23.01511,83,928,140
216847714,280.19162,-21.61773,84,153,716
216461276,280.00281,-22.30639,84,699,384
216658009,280.06763,-21.95581,84,413,528
216070198,279.8978,-23.01654,83,938,102
218823606,282.42737,-18.08583,71,950,249
218866151,282.50662,-18.00401,71,1037,201
216763219,280.07611,-21.76881,84,254,583
218640052,282.00754,-18.43316,71,510,432
216066955,279.83856,-23.02272,83,948,53
216634019,279.99185,-21.99801,84,430,456
213511583,282.73846,-29.16751,75,88,631
216322497,279.75897,-22.55586,84,853,124
218748526,281.99341,-18.22869,71,555,252
216904976,279.97281,-21.51596,84,10,566
219734843,289.4165,-15.96714,32,84,455
219735646,289.41717,-15.9649,32,83,453
216812347,279.84879,-21.68073,84,120,423
216556535,279.7258,-22.13638,84,483,206
216861779,279.73267,-21.59289,84,15,352
218620655,281.42862,-18.46912,71,27,305
213043716,286.1044,-31.04708,56,30,179
218708328,281.35764,-18.30462,71,13,144
216826217,279.4909,-21.65618,84,8,141
