EPIC,RA,Dec,Ch,Col,Row
211801338,127.88054,17.3358,61,673,465
211954690,130.11255,19.54481,46,1035,952
211954451,129.96131,19.54081,46,906,947
211957012,130.23458,19.58034,45,1085,986
211970121,129.92773,19.77846,47,874,1003
211917484,127.92207,18.98773,66,461,440
211969627,128.9378,19.77116,47,31,1020
211793963,133.84534,17.23128,23,664,488
211576294,127.15557,14.21082,57,1104,884
211939824,133.33589,19.32217,25,1018,818
211787912,134.2845,17.14375,23,729,106
211727051,134.32739,16.28249,24,717,39
212011256,128.17707,20.44116,65,446,228
212070711,130.82145,21.4685,49,621,115
211386000,131.78262,11.41967,13,62,774
211399859,127.81735,11.63841,54,531,630
211495404,134.862,13.07439,1,411,118
211356086,130.13562,10.92413,35,1041,917
211404229,127.01091,11.70642,53,977,564
212089666,133.6343,21.82031,29,839,501
211477463,125.37451,12.81333,74,36,75
212029623,125.08739,20.74772,81,156,262
211399051,133.98145,11.62603,14,215,531
211752778,123.40747,16.64696,79,951,411
211329325,132.15434,10.43303,16,411,505
211823340,123.05337,17.64767,80,362,120
211823343,123.05303,17.64777,80,361,120
212178066,129.68967,23.68591,51,623,58
211998784,123.85278,20.23433,84,613,853
211743999,122.95495,16.52386,79,847,16
211564251,137.02665,14.04248,3,853,177
212001589,123.34553,20.2805,84,560,423
