RA,Dec,Name,Kepler_ID,SpType,[Fe/H],theta,2MASS ID,Data Availability,Observed,Proposals,Seasons on CCD,Teff,Log_G,E(B-V),g,r,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3,Condition flag
19 27 24.421,+42 13 45.47,HD_183383,6777469,B9,,,19272440+4213453,0,unobserved,,4,,,,7.6,7.567,7.357,7.64,379,21,8,1,647,665,37,12,1,642,664,61,18,1,643,660,45,14,1,649,660,
19 14 12.596,+49 46 03.48,HD_180475,11656042,K2,,,19141259+4946035,0,unobserved,,4,,,,9.371,8.024,5.692,7.664,86,82,24,2,595,102,30,10,2,599,102,2,2,2,600,97,54,16,2,594,97,
19 35 49.863,+42 21 57.94,BD+42 3393,6870455,K5,,,19354984+4221580,0,unobserved,,4,,,,9.86,8.149,5.362,7.664,139,23,8,3,886,292,39,12,3,890,292,63,18,3,891,296,47,14,3,886,296,
19 35 29.972,+45 26 08.61,HD_185117,9094435,K5,,,19352998+4526086,0,unobserved,,4,,,,9.791,8.155,5.101,7.696,331,45,14,1,689,744,21,8,1,687,749,37,12,1,682,749,61,18,1,683,744,
19 00 31.939,+41 41 03.29,HD_176894,6267965,F0,,,19003193+4141033,0,unobserved,,4,,,,8.055,7.704,6.947,7.7,0,33,11,1,362,1110,77,23,1,361,1107,49,15,1,364,1107,5,3,1,364,1111,
19 54 14.721,+44 50 50.37,HD_188629,8710324,K5,,,19541471+4450504,0,unobserved,,4,,,,10.007,8.245,5.236,7.743,289,30,10,2,460,819,2,2,2,461,814,54,16,2,455,814,82,24,2,455,819,
19 04 23.784,+38 06 27.40,HD_177781,2970780,G5,,,19042378+3806274,0,unobserved,,4,5054,2.729,0.046,8.323,7.662,6.352,7.744,385,15,6,3,421,683,75,22,3,418,689,71,20,3,417,689,11,4,3,416,684,
19 24 30.631,+37 11 16.22,HD_182737,1572070,A0,,,19243063+3711162,0,unobserved,,4,6731,3.982,0.027,7.834,7.815,6.831,7.82,357,4,2,4,518,372,56,16,4,521,370,84,24,4,524,367,32,10,4,517,366,
19 57 02.017,+41 34 26.89,HD_226754,6234579,K2,,,19570201+4134267,0,unobserved,,2,,,,9.729,8.238,5.627,7.829,,,,,,,14,6,2,1042,95,74,22,2,1042,100,,,,,,
19 08 04.834,+49 04 54.59,HD_178910,11288450,K2,,,19080483+4904545,0,unobserved,,4,4518,1.975,0.065,8.793,7.781,6.115,7.864,423,77,23,1,602,640,49,15,1,606,640,5,3,1,606,644,33,11,1,603,643,
19 17 29.333,+39 14 40.61,HD_181097,4149233,K0,,,19172932+3914407,0,unobserved,,4,,,,9.527,8.255,6.034,7.92,139,20,7,4,175,350,60,17,4,180,350,68,19,4,182,347,28,9,4,177,347,
19 15 33.020,+41 35 34.48,HD_180658,6195870,K0,,,19153302+4135343,0,unobserved,,4,,,,9.262,8.196,6.249,7.932,6,18,7,2,39,959,58,17,2,34,959,66,19,2,34,964,26,9,2,37,964,
19 22 48.455,+48 53 07.01,HD_182531,11188366,K5,,,19224843+4853069,0,unobserved,,4,,,,9.634,8.308,5.988,7.955,316,67,19,3,354,707,27,9,3,348,708,19,7,3,347,704,59,17,3,352,704,
19 48 09.666,+48 24 00.61,BD+48 2955,10988024,K2,,,19480966+4824009,0,unobserved,,4,,,,9.757,8.344,5.937,7.961,0,51,15,3,1038,111,7,3,3,1036,107,35,11,3,1041,107,79,23,3,1042,111,
19 14 25.455,+39 39 08.19,HD_180312,4551179,K0,,,19142545+3939082,0,unobserved,,4,,,,9.065,8.119,6.343,7.97,98,20,7,4,781,113,60,17,4,786,114,68,19,4,788,111,28,9,4,783,110,
19 33 21.766,+41 19 46.92,HD_184565,6047321,K0,,,19332176+4119469,0,unobserved,,4,5159,2.666,0.059,8.546,7.92,6.625,7.972,16,24,8,4,296,1092,40,12,4,299,1092,64,18,4,300,1088,48,14,4,296,1088,
19 20 32.245,+38 25 31.40,HD_181880,3337423,K,-0.12,,19203225+3825313,0,unobserved,,4,,,,9.725,8.351,6.063,7.982,287,1,2,1,320,385,53,16,1,314,385,81,24,1,314,380,29,10,1,319,380,
